ID,DATE,TIME,BOROUGH,LATITUDE,LONGITUDE,CLASS
3193179,3,17,BROOKLYN,40.7254356,-73.9517381,0
3195147,3,17,BROOKLYN,40.6423729,-73.9574626,0
3192774,3,17,QUEENS,40.7498634,-73.8223971,0
3192635,3,17,BROOKLYN,40.6740727,-73.8629936,0
3192775,3,17,QUEENS,40.7672697,-73.8290439,0
3192625,3,17,BROOKLYN,40.6558259,-73.9812228,1
3193112,3,17,BROOKLYN,40.6678235,-73.9312149,0
3192396,3,17,MANHATTAN,40.7434507,-73.988192,0
3192793,3,17,QUEENS,40.7570607,-73.7553377,0
3192568,3,17,BROOKLYN,40.637264,-73.9897889,1
3193050,3,17,BRONX,40.8810763,-73.8784859,0
3192595,3,17,BROOKLYN,40.6271022,-74.029573,0
3192697,3,17,QUEENS,40.689714,-73.8407672,0
3193358,3,17,STATEN ISLAND,40.5984455,-74.0652387,1
3193031,3,18,BRONX,40.8468268,-73.8970434,0
3192601,3,18,BROOKLYN,40.640237,-73.9059739,0
3193158,3,18,BROOKLYN,40.7070278,-73.9235892,0
3193175,3,18,BROOKLYN,40.6996126,-73.9577939,0
3192375,3,18,MANHATTAN,40.7140687,-73.9975038,0
3192413,3,18,MANHATTAN,40.7430998,-73.9740095,0
3192799,3,18,QUEENS,40.7243014,-73.8451618,0
3194751,3,18,QUEENS,40.7073661,-73.8069468,0
3193117,3,18,BROOKLYN,40.6476772,-74.0145875,0
3192676,3,18,BROOKLYN,40.6848568,-73.9780417,0
3193250,3,18,QUEENS,40.7294602,-73.7802481,0
3193140,3,18,BROOKLYN,40.6799453,-73.9895589,0
3192660,3,18,BROOKLYN,40.6896924,-73.9333919,0
3192529,3,18,BRONX,40.8767247,-73.9066592,0
3192576,3,18,BROOKLYN,40.6088143,-73.9729958,0
3192389,3,18,MANHATTAN,40.7483561,-74.0036885,0
3193191,3,18,QUEENS,40.7034151,-73.8214786,0
3192462,3,18,MANHATTAN,40.8509074,-73.9382837,1
3192412,3,18,MANHATTAN,40.7508437,-73.9786082,0
3193312,3,18,QUEENS,40.7220121,-73.8534755,0
3193204,3,18,QUEENS,40.7100489,-73.7661546,0
3193340,3,18,QUEENS,40.7578241,-73.8609985,0
3192948,3,18,MANHATTAN,40.7871634,-73.9716812,0
3192999,3,19,BRONX,40.8197425,-73.8176475,0
3193309,3,19,QUEENS,40.7119975,-73.8542225,0
3192895,3,19,MANHATTAN,40.7589235,-73.9996896,1
3192578,3,19,BROOKLYN,40.6349546,-73.9814305,0
3192603,3,19,BROOKLYN,40.6331847,-73.9081347,1
